id,time,orig_time,first_time,mat_time,balance_time,LTV_time,interest_rate_time,hpi_time,gdp_time,uer_time,REtype_CO_orig_time,REtype_PU_orig_time,REtype_SF_orig_time,investor_orig_time,balance_orig_time,FICO_orig_time,LTV_orig_time,Interest_Rate_orig_time,hpi_orig_time,default_time,payoff_time,status_time
196,25,-3,25,57,21559.08,15.734822465,9.75,226.29,2.8991367167,4.7,0,0,1,0,30000.0,561,52.1,9.75,95.1,0,0,0
196,26,-3,25,57,21272.64,15.607842756,9.75,225.1,2.1513648831,4.7,0,0,1,0,30000.0,561,52.1,9.75,95.1,0,0,0
196,27,-3,25,57,20834.18,15.472416324,9.75,222.39,2.3617217155,4.4,0,0,1,0,30000.0,561,52.1,9.75,95.1,0,0,0
196,28,-3,25,57,20384.95,15.326249316,9.75,219.67,1.2291722496,4.6,0,0,1,0,30000.0,561,52.1,9.75,95.1,0,0,0
196,29,-3,25,57,19924.68,15.138705317,9.75,217.37,1.6929686703,4.5,0,0,1,0,30000.0,561,52.1,9.75,95.1,0,0,0
196,30,-3,25,57,19453.1,15.102785863,9.75,212.73,2.2742178006,4.7,0,0,1,0,30000.0,561,52.1,9.75,95.1,0,0,0
196,31,-3,25,57,18806.26,15.47807586,9.75,200.67,1.8506891663,4.7,0,0,1,0,30000.0,561,52.1,9.75,95.1,0,0,0
196,32,-3,25,57,18307.2,16.245230123,9.75,186.12,1.1041627602,5.0,0,0,1,0,30000.0,561,52.1,9.75,95.1,0,0,0
196,33,-3,25,57,17795.88,16.281376873,9.75,180.52,0.8368586627,5.0,0,0,1,0,30000.0,561,52.1,9.75,95.1,0,0,0
196,34,-3,25,57,17271.99,16.455668027,9.75,173.35,-0.314447747,5.8,0,0,1,0,30000.0,561,52.1,9.75,95.1,0,0,0
196,35,-3,25,57,16915.59,17.235659804,9.75,162.09,-2.805844087,6.5,0,0,1,0,30000.0,561,52.1,9.75,95.1,0,0,0
196,36,-3,25,57,16185.27,17.646624224,9.75,151.48,-3.516567987,7.8,0,0,1,0,30000.0,561,52.1,9.75,95.1,0,0,0
196,37,-3,25,57,15621.81,16.824592593,9.75,153.35,-4.146710947,9.0,0,0,1,0,30000.0,561,52.1,9.75,95.1,0,0,0
196,38,-3,25,57,15238.5,15.85151442,9.75,158.77,-3.339549297,9.5,0,0,1,0,30000.0,561,52.1,9.75,95.1,0,0,0
196,39,-3,25,57,15238.5,15.912651394,9.75,158.16,-0.241080652,10.0,0,0,1,0,30000.0,561,52.1,9.75,95.1,0,0,0
196,40,-3,25,57,15238.5,16.111292136,9.75,156.21,1.5859655122,9.8,0,0,1,0,30000.0,561,52.1,9.75,95.1,0,0,0
196,41,-3,25,57,15238.5,15.626132774,9.75,161.06,2.6824968062,9.9,0,0,1,0,30000.0,561,52.1,9.75,95.1,0,0,0
196,42,-3,25,57,15238.5,15.631956177,9.75,161.0,3.0294986398,9.4,0,0,1,0,30000.0,561,52.1,9.75,95.1,0,0,0
196,43,-3,25,57,15238.5,16.128844812,9.75,156.04,2.6941105489,9.4,0,0,1,0,30000.0,561,52.1,9.75,95.1,0,0,0
196,44,-3,25,57,15238.5,16.677125071,9.75,150.91,1.8755149375,9.2,0,0,1,0,30000.0,561,52.1,9.75,95.1,0,0,0
196,45,-3,25,57,15238.5,16.250693772,9.75,154.87,1.6391549258,9.1,0,0,1,0,30000.0,561,52.1,9.75,95.1,0,0,0
196,46,-3,25,57,15238.5,16.173413948,9.75,155.61,1.1759090317,9.0,0,0,1,0,30000.0,561,52.1,9.75,95.1,0,0,0
196,47,-3,25,57,15238.5,16.82541078,9.75,149.58,1.6681823188,8.8,0,0,1,0,30000.0,561,52.1,9.75,95.1,0,0,0
196,48,-3,25,57,15238.5,17.185011571,9.75,146.45,2.7159028846,8.3,0,0,1,0,30000.0,561,52.1,9.75,95.1,0,0,0
